EAN,Descricao,Validade,Status,Setor,DataCadastro
7908134200712,REGENESIS PREMIUM LIPINOVA 60CPS,2027-03,ativo,MARCOS,2026-02-21
7908134200071,REGENESIS 90CPS,2027-10,ativo,MARCOS,2026-02-21
7898956544579,REGENESIS 60CPS,2027-03,ativo,MARCOS,2026-02-21
7898956544111,REGENESIS 30CPS,2027-06,ativo,MARCOS,2026-02-21
7908134200118,REGENESIS PRE 30CPS,2027-02,ativo,MARCOS,2026-02-21
7896094210134,MATRION 30CP,2026-12,ativo,MARCOS,2026-02-21
7899420508738,DELA COLIN 60CPS,2027-07,ativo,MARCOS,2026-02-21
7896094925830,OFOLATO SOP TANGERINA 30 SACHES,2027-06,ativo,MARCOS,2026-02-21
7898430193576,FERTISOP LARANJA 30ENV 4GR,2027-01,ativo,MARCOS,2026-02-21
7894916516679,NEUTROFER FOLATO D 30CP,2027-10,ativo,MARCOS,2026-02-21
7894916516686,NEUTROFER FOLATO D 90CP,2026-10,ativo,MARCOS,2026-02-21
7894916518239,NEUTROFER COLINA DHA 60CPS,2027-01,ativo,MARCOS,2026-02-21
7894916518246,NEUTROFER COLINA DHA 120CPS,2027-08,ativo,MARCOS,2026-02-21
7896112407881,DTN-FOL 400MCG+10MG 90CPS,2027-07,ativo,MARCOS,2026-02-21
7898549758529,PREVELIP ZS 30CPS,2026-09,ativo,MARCOS,2026-02-21
7899824401109,ZIRVIT VITA 30CPS,2028-03,ativo,MARCOS,2026-02-21
7899824401970,ZIRVIT VITA MAX 30CPS + 60CP,2027-11,ativo,MARCOS,2026-02-21
7898948648476,OGESTAN GOLD 30CPS,2027-06,ativo,MARCOS,2026-02-21
7896094927285,GESTAMAX GOLD 30CPS GEL,2027-03,ativo,MARCOS,2026-02-21
7908020507420,NATAZY PRE + COLINA 30CP,2026-09,ativo,MARCOS,2026-02-21
7898495608145,NATAZY DHA 30CPS,2026-09,ativo,MARCOS,2026-02-21
7898430191947,FOLAGEST 45CP,2027-06,ativo,MARCOS,2026-02-21
7891000361887,NESTLE MATERNA DHA 30CPS,2026-10,ativo,MARCOS,2026-02-21
7896006227052,MEGA MATER 30CPS,2027-06,ativo,MARCOS,2026-02-21
7898948648896,RADIANT MATURITY 60CPS,2027-09,ativo,MARCOS,2026-02-21
7891000359426,NESTLE MATERNA OMEGA DHA 30CP,2027-03,ativo,MARCOS,2026-02-21
7898661012875,ALPHA MATER PURA VIDA 60CPS,2027-04,ativo,MARCOS,2026-02-21
7896094919662,OFOLATO D FER 2.000UI 30CP,2027-08,ativo,MARCOS,2026-02-21
7896094919488,OFOLATO D 2.000UI 90CP,2027-05,ativo,MARCOS,2026-02-21
7896094919495,OFOLATO D 2.000UI 30CP,2027-07,ativo,MARCOS,2026-02-21
7896094917408,OFOLATO 90CP,2027-04,ativo,MARCOS,2026-02-21
7896094916203,OFOLATO 30CP,2027-05,ativo,MARCOS,2026-02-21
7894164005222,"AFOLIMAX 0,2MG/ML GTS 30ML",2027-04,ativo,MARCOS,2026-02-21
7899824401017,FOLACIN 10MCG/GOTA 30ML,2026-08,ativo,MARCOS,2026-02-21
7908020502883,GROW FERRO CHOCOLATE GTS 30ML,2027-01,ativo,MARCOS,2026-02-21
